feature_name,feature_type,correlation_with_target
age,int64,0.1592050068657792
nombre_experiences_precedentes,int64,0.043493739057813625
nombre_heures_travailless,int64,
annee_experience_totale,int64,0.17106324613622614
annees_dans_l_entreprise,int64,0.13439221398997675
annees_dans_le_poste_actuel,int64,0.16054500426770077
satisfaction_employee_environnement,int64,0.10336897833793582
note_evaluation_precedente,int64,0.13001595678605318
niveau_hierarchique_poste,int64,0.16910475093102667
satisfaction_employee_nature_travail,int64,0.10348112606902085
satisfaction_employee_equipe,int64,0.04587227888112602
satisfaction_employee_equilibre_pro_perso,int64,0.06393904721740896
note_evaluation_actuelle,int64,0.002888751711080899
nombre_participation_pee,int64,0.13714491893332553
nb_formations_suivies,int64,0.05947779855642029
nombre_employee_sous_responsabilite,int64,
distance_domicile_travail,int64,0.07792358295570354
niveau_education,int64,0.031372819640049246
annes_sous_responsable_actuel,int64,0.15619931590162864
salary_increase_pct,float64,0.013478202057439121
heure_supplementaires_binary,int64,0.2461179942458024
ayant_enfants_binary,int64,
years_in_position_ratio,float64,0.13032402719173294
experience_before_company,int64,0.0821466501080059
salary_per_experience,float64,0.09773142040036721
recent_hire,int64,0.21116467543593034
performance_stable,int64,0.05569511084803839
satisfaction_mean,float64,0.1590915457462974
satisfaction_std,float64,0.08838202327023091
low_satisfaction,int64,0.14750337106511324
long_commute,int64,0.06480091658426579
training_per_year,float64,0.1329080175173961
no_training,int64,0.061894406973909424
overdue_promotion,int64,0.04367068894736383
never_promoted,int64,0.1139328747885276
genre_M,bool,
statut_marital_Divorcé(e),bool,
statut_marital_Marié(e),bool,
departement_Consulting,bool,
departement_Ressources Humaines,bool,
poste_Cadre Commercial,bool,
poste_Consultant,bool,
poste_Directeur Technique,bool,
poste_Manager,bool,
poste_Représentant Commercial,bool,
poste_Ressources Humaines,bool,
poste_Senior Manager,bool,
poste_Tech Lead,bool,
eval_number_E_10,bool,
eval_number_E_100,bool,
eval_number_E_1001,bool,
eval_number_E_1002,bool,
eval_number_E_1003,bool,
eval_number_E_1004,bool,
eval_number_E_1005,bool,
eval_number_E_1006,bool,
eval_number_E_1007,bool,
eval_number_E_1009,bool,
eval_number_E_101,bool,
eval_number_E_1010,bool,
eval_number_E_1011,bool,
eval_number_E_1012,bool,
eval_number_E_1013,bool,
eval_number_E_1014,bool,
eval_number_E_1015,bool,
eval_number_E_1016,bool,
eval_number_E_1017,bool,
eval_number_E_1018,bool,
eval_number_E_1019,bool,
eval_number_E_102,bool,
eval_number_E_1022,bool,
eval_number_E_1024,bool,
eval_number_E_1025,bool,
eval_number_E_1026,bool,
